reference,author,title,city,editorial,year,catalog
"Ignacio Mendoza, Fran, Lo que no confesé a Nikola Tesla. Valencia, Editorial Olélibros, 2023.",Ignacio Mendoza,"Fran, Lo que no confesé a Nikola Tesla",Valencia,Editorial Olélibros,2023,2022-2023
"Jerez Oyola, Fernando, Mis versos para el retablo. Badajoz, Diputación, 2022.",Fernando Jerez Oyola,Mis versos para el retablo,Badajoz,Diputación,2022,2022-2023
"Jiménez, Hilario, Entre los equilibrios contrarios. Madrid, Pigmalión, 2022. Antología de textos de García Lorca.",Hilario Jiménez,Entre los equilibrios contrarios,Madrid,Pigmalión,2022,2022-2023
"Jiménez, Óscar, La laguna de la feria. Mérida, ERE, 2023.",Óscar Jiménez,La laguna de la feria,Mérida,ERE,2023,2022-2023
"Jiménez, Sara, Leyenda de la princesa Mansabora. Barcelona, Editores Varios, 2023.  Autora de 11 años.",Sara Jiménez,Leyenda de la princesa Mansabora,Barcelona,Editores Varios,2023,2022-2023
"Jiménez Andrada, Víctor Manuel, El archivero. Cáceres. Norbanova, 2023. Poesía e ilustración (collages) realizados por el propio autor.",Víctor Manuel Jiménez Andrada,El archivero,Cáceres,Norbanova,2023,2022-2023
"Jiménez Benítez-Cano y otros, Joaquín Montaner. Nuevas aportaciones biográficas y poéticas de un villanovense olvidado.Villanueva de la Serena, A.C. Torres y Tapia, 2022.",Jiménez Benítez-Cano y otros,Nuevas aportaciones biográficas y poéticas de un villanovense olvidado,Villanueva de la Serena,A.C. Torres y Tapia,2022,2022-2023
"Jiménez Moriano, Òscar, La laguna de la feria. Mérida, ERE, 2023. Novela.",Òscar Jiménez Moriano,La laguna de la feria,Mérida,ERE,2023,2022-2023
"Jiménez Parralejo, Caridad y otros, Antología Poetas del Jueves por la Paz. Badajoz (Asoc. Migas/, 2022.",Caridad Jiménez Parralejo;otros,Antología Poetas del Jueves por la Paz,Badajoz,Asoc. Migas,2022,2022-2023
"Lambea Bornay, Francisco, La vida cómplice. Madrid, Pigmalión, 2022. Nº17.191. Poesía",Francisco Lambea Bornay,La vida cómplice,Madrid,Pigmalión,2022,2022-2023
"Landero, Luis, Una historia ridícula. Barcelona, Tusquets, 2022. Novela",Luis Landero,Una historia ridícula,Barcelona,Tusquets,2022,2022-2023
"Macías Díaz, Daniel, La flor del ser: antología poética. Badajoz, Diputación, 2022.",Daniel Macías Díaz,La flor del ser: antología poética,Badajoz,Diputación,2022,2022-2023
"Maján, Anuncia (dir.), Grada. Año XVI, nº 176. Badajoz, Grada Ocio y Deporte en Extremadura, S. L, marzo 2023.",Anuncia Maján,"Grada. Año XVI, nº 176",Badajoz,"Grada Ocio y Deporte en Extremadura, S. L",2023,2022-2023
"Mariano, Lorenzo y Conde, David, Las recetas del hambre. La comida de los años de posguerra. Barcelona, Crítica, 2023",Lorenzo Mariano;David Conde,Las recetas del hambre. La comida de los años de posguerra,Barcelona,Crítica,2023,2022-2023
"Maeso Morillo, Miguell, Guía de aves de la Sierra Grande de Hornachos y su entorno. Badajoz, Diputación, 2023.",Miguell Maeso Morillo,Guía de aves de la Sierra Grande de Hornachos y su entorno,Badajoz,Diputación,2023,2022-2023
"Martín Gijón, Susana. Planeta. Barcelona, Penguin Random House, enero 2022. Novela.",Susana Martín Gijón,Planeta,Barcelona,Penguin Random House,2022,2022-2023
"Martín Medina, Víctor y Toral Oropesa, María, Las mujeres de Goya. Catálogo exposición. Badajoz, MUBA, 2022",Víctor Martín Medina;María Toral Oropesa,Las mujeres de Goya. Catálogo exposición,Badajoz,MUBA,2022,2022-2023
"Martín Manuel, Marciano, Historia del Antijudaísmo en Extremadura I : la madroña y el Peropalo. Plasencia, Herratas ediciones, 2022.",Marciano Martín Manuel,Historia del Antijudaísmo en Extremadura I : la madroña y el Peropalo,Plasencia,Herratas ediciones,2022,2022-2023
"Martín Nieto, Dionisio Á. y otros, Artistas y artesanos en Garrovillas de Alconétar (siglos XVI-XIX). S.l., s.n., 2020.",Dionisio Á. Martín Nieto;otros,Artistas y artesanos en Garrovillas de Alconétar (siglos XVI-XIX),s.l.,s.n.,2020,2022-2023
"Martín Nieto, Dionisio, Nebrija y Extremadura. Mérida, ERE, 2022",Dionisio Martín Nieto,Nebrija y Extremadura,Mérida,ERE,2022,2022-2023
"Martín Ortiz, César, Poesía completa. Edición, introducción y notas de José Luis Bernal Salgado. Mérida, ERE, 2022.",César Martín Ortiz,Poesía completa,Mérida,ERE,2022,2022-2023
"Martín Ruano, Sebastián, La educación en Brozas: datos para conocer la historia de la educación de un pueblo extremeño. Cáceres, Diputación, 2022.",Sebastián Martín Ruano,La educación en Brozas: datos para conocer la historia de la educación de un pueblo extremeño,Cáceres,Diputación,2022,2022-2023
"- Martín Santos, Alicia, Hecha a sí misma. Badajoz, Arista Martínez, Ediciones, 2023.",Martín Santos,"Alicia, Hecha a sí misma",Badajoz,"Arista Martínez, Ediciones",2023,2022-2023
"Martín Tamayo, Tomás, Díptico romano. (La amargura de Tiberio y El enigma de Poncio Pilato). Mérida, ERE, 2022",Tomás Martín Tamayo,Díptico romano. (La amargura de Tiberio y El enigma de Poncio Pilato),Mérida,ERE,2022,2022-2023
"Martínez Nadal, Fidel y otros, El arte del cómic en el MUBA. Badajoz, Diputación, 2023.",Fidel Martínez Nadal;otros,El arte del cómic en el MUBA,Badajoz,Diputación,2023,2022-2023
"Martos Quesada, Juan, Historiografía Andalusí: manual de fuentes árabes para la historia de Al-Andalus . Cáceres, Universidad de Extremadura, 2022.",Juan Martos Quesada,Historiografía Andalusí: manual de fuentes árabes para la historia de Al-Andalus,Cáceres,Universidad de Extremadura,2022,2022-2023
"Mateos Ascacíbar, Francisco J., Catalina Clara Ramírez de Guzmán. Badajoz, Diputación, 2023.",Francisco J. Mateos Ascacíbar,,Badajoz,Diputación,2023,2022-2023
"Mateos Blanco, Rocío, Las aventuras de Jara. Badajoz, Diputación, 2022.",Rocío Mateos Blanco,Las aventuras de Jara,Badajoz,Diputación,2022,2022-2023
"Mateo Maestre, Yolanda, La discapacidad de querer: la historia de quince mujeres con diversidad funcional que hicieron historia. Ilustraciones de Miguel Hernández. Cáceres, Cuatro hojas, 2022.",Yolanda Mateo Maestre,La discapacidad de querer: la historia de quince mujeres con diversidad funcional que hicieron historia,Cáceres,Cuatro hojas,2022,2022-2023
"Mateos Moreno, Francisco, Convento de las carmelitas descalzas de Badajoz en la vida religiosa de la ciudad. Badajoz, Fundación CB,2022. Edición facsimilar.",Francisco Mateos Moreno,Convento de las carmelitas descalzas de Badajoz en la vida religiosa de la ciudad,Badajoz,Fundación CB,2022,2022-2023
"Mateos, Nieves, La tarjeta mágica del señor Anatocismo. Almendralejo, Creativa Unibex, 2022.",Nieves Mateos,La tarjeta mágica del señor Anatocismo,Almendralejo,Creativa Unibex,2022,2022-2023
"Mayans, Gregorio, Vida de Francisco Sánchez de las Brozas. Estudio introductorio, traducción y notas de Manuel Mañas Núñez. Cáceres, Universidad de Extremadura, 2022.",Gregorio Mayans,Vida de Francisco Sánchez de las Brozas,Cáceres,Universidad de Extremadura,2022,2022-2023
"Mayoral y Lodo, José Miguel, conde de los Acevedos, Extremadura en el registro de la Real Estampilla durante el reinado de Carlos IV. Madrid, Pigmalión, 2022. Mecerreyes, Mariano, El gigante de papel. Cáceres, 2022. Novela negra",José Miguel Mayoral y Lodo,Extremadura en el registro de la Real Estampilla durante el reinado de Carlos IV,Madrid,Pigmalión,2022,2022-2023
"Medrano, Carlos, Entorno claro. Mérida, ERE, 2022. Poemario.",Carlos Medrano,Entorno claro,Mérida,ERE,2022,2022-2023
"Martín Gijón, Mario, Restitución. Valencia, Pre-Textos, 2023",Mario Martín Gijón,Restitución,Valencia,Pre-Textos,2023,2022-2023
"Martín Medina, Víctor, Adelardo Covarsí. Un artista a través de las publicaciones de su época. Badajoz, MUBA/Diputación, 2023.",Víctor Martín Medina,Un artista a través de las publicaciones de su época,Badajoz,MUBA/Diputación,2023,2022-2023
"Martín Durán, Inés, Nada es para siempre: un viaje en Japón .  Cáceres, Imprenta Tomás Rodríguez, 2022.",Inés Martín Durán,Nada es para siempre: un viaje en Japón,Cáceres,Imprenta Tomás Rodríguez,2022,2022-2023
"Marcos Sarró, Cristina, Gigi Béret & compañía: el fantasma del castillo de Montánchez. Ilustraciones de Miguel Hernández. Cáceres, Cuatro Hojas, 2022.",Marcos Sarró,"Cristina, Gigi Béret & compañía: el fantasma del castillo de Montánchez",Cáceres,Cuatro Hojas,2022,2022-2023
"Mandala, María, Poemas del des-velo / María Mandala. Cáceres, CopeGraf, 2022.",María Mandala,Poemas del des-velo,Cáceres,CopeGraf,2022,2022-2023
"Manín Rodríguez, Sofía. Estrella y la isla mágica.  Hervás, Gráficas Hervás digital, 2022",Sofía Manín Rodríguez,Estrella y la isla mágica,Hervás,Gráficas Hervás digital,2022,2022-2023
"Mañas Núñez, Manuel, Barthélemy Aneau y la Emblemática.  los Emblemata de Alciato con Epimythia y el libro Picta poesis. Cáceres, UEX, 2022.",Manuel Mañas Núñez,Barthélemy Aneau y la Emblemática. los Emblemata de Alciato con Epimythia y el libro Picta poesis,Cáceres,UEX,2022,2022-2023
"Manzano Sanfélix, Juan Manuel, José María Sanfélix Moreno: un belenista extremeño muy castúo. Badajoz, Diputación, 2022.",Juan Manuel Manzano Sanfélix,José María Sanfélix Moreno: un belenista extremeño muy castúo,Badajoz,Diputación,2022,2022-2023
"Marabé Méndez, Aniceto, Dulces de Marabé. Barcarrota, Universidad Popular/Ayuntamiento, 2023. Recetario.",Aniceto Marabé Méndez,Dulces de Marabé,Barcarrota,Universidad Popular/Ayuntamiento,2023,2022-2023
"Marabel, Jacinto J., Badajoz 1812. Editorial Almena, 2023.",Jacinto J. Marabel,Badajoz 1812,Badajoz,Editorial Almena,2023,2022-2023
"Marciano Martín Manuel, Historia del Antijudaísmo en Extremadura. I. La Madroña y el Peropalo. Plasencia, Asociación “Pedro Trejo”, 2022.",Marciano Martín Manuel,Historia del Antijudaísmo en Extremadura. I. La Madroña y el Peropalo,Plasencia,Asociación “Pedro Trejo”,2022,2022-2023
"Marcos Arévalo, Javier, El hacinamiento, la marginación y la pena de muerte: la cárcel de Badajoz en elsiglo XIX / Javier Marcos Arévalo. Badajoz, Editamás, 2022.",Javier Marcos Arévalo,"El hacinamiento, la marginación y la pena de muerte: la cárcel de Badajoz en el siglo XIX",Badajoz,Editamás,2022,2022-2023
"Marcos Sarró, Cristina, Gigi Béret & compañía: los misterios de Mérida. Cáceres, Cuatro Hojas, 2022.",Marcos Sarró,"Cristina, Gigi Béret & compañía: los misterios de Mérida",Cáceres,Cuatro Hojas,2022,2022-2023
"Martín, Claudio, Sertorio. Badajoz, Stela Literaria, noviembre 2022. Teatro.",Claudio Martín,Teatro,Badajoz,Stela Literaria,2022,2022-2023
"Marín del Valle, Mercedes, Estaciones sin parada. Badajoz, Editamás, 2023. Novela.  Mariño Gutiérrez, Pedro Antonio, De Juan Belmonte a Roca Rey: apuntes biográficos de los matadores de toros más notables del siglo XX y principios del XXI. Cáceres, Gráficas Color Extremadura, 2022.",Mercedes Marín del Valle,Estaciones sin parada,Badajoz,Editamás,2023,2022-2023
"Mariño Moreno, Beatriz, Oleus de piel mezclada. Mérida, ERE, 2023. Novela visual.",Beatriz Mariño Moreno,Oleus de piel mezclada,Mérida,ERE,2023,2022-2023
"Márquez Franco, José, No olvides el último verano. Badajoz, Tecnigraf, 2022.",José Márquez Franco,No olvides el último verano,Badajoz,Tecnigraf,2022,2022-2023
"Márquez Hidalgo, Francisco, Santiago Carillo, un gran desconocido. Sevilla, Renacimiento, 2022.",Francisco Márquez Hidalgo,"Santiago Carrillo, un gran desconocido",Sevilla,Renacimiento,2022,2022-2023
"Martín, Ana María, El torques de oro de Acehúche (Cáceres) y el origen de un paisaje cultural en elvalle medio del río Tajo durante el Bronce Final. Mérida, Consejería de Cultura/ Cáceres, Asociación Adaegina Amigos del Museo de Cáceres, 2022.",Ana María Martín,El torques de oro de Acehúche (Cáceres) y el origen de un paisaje cultural en el valle medio del río Tajo durante el Bronce Final,Mérida,"Consejería de Cultura/ Cáceres, Asociación Adaegina Amigos del Museo de Cáceres",2022,2022-2023
"Martín Baños, Pedro, Nueva caracola del Bibliófilo Nebrisense.  Salamanca, Universidad y otras, 2022",Pedro Martín Baños,Nueva caracola del Bibliófilo Nebrisense,Salamanca,Universidad y otras,2022,2022-2023
"Martín Baños, Pedro y otros, Cultura manuscrita y cultura impresa en el entorno de Antonio de Nebrija. Salamanca, Universidad y otras, 2022.",Pedro Martín Baños;otros,Cultura manuscrita y cultura impresa en el entorno de Antonio de Nebrija,Salamanca,Universidad y otras,2022,2022-2023
"Martín Camacho, Ángel, Lugares de Peraleda. Peraleda de la Mata, Ayuntamiento, 203.",Ángel Martín Camacho,Lugares de Peraleda,Peraleda de la Mata,Ayuntamiento,,2022-2023
"Pinto García-Mora, Rosario, El verso hecho oración. Don Benito , autoedición, 2022",Rosario Pinto García-Mora,El verso hecho oración,Don Benito,autoedición,2022,2022-2023
"Pizarro Gómez, Juan José, Antología poética: poesías (vivencias de un romántico) y poemas de mi experiencia. Cáceres, Imprenta Tomás Rodríguez, 2022.",Juan José Pizarro Gómez,Antología poética: poesías (vivencias de un romántico) y poemas de mi experiencia,Cáceres,Imprenta Tomás Rodríguez,2022,2022-2023
"Porrinas González, David, Gerardo Sempavor. Un guerrero de frontera (y hechos de Badajoz en el siglo XII). Badajoz, Fundación CB, 2023.",David Porrinas González,Un guerrero de frontera (y hechos de Badajoz en el siglo XII),Badajoz,Fundación CB,2023,2022-2023
"Santos, Juan Ramón, El club de las cuatro Emes. A cara de perro.  Madrid, Edebé, 2023. Novela.",Juan Ramón Santos,El club de las cuatro Emes. A cara de perro,Madrid,Edebé,2023,2022-2023
"Santos, Juan Ramón, Vida salvaje. Madrid, Hiperión, 2022. Poesía. Premio “Valencia” Institució Alfons el Magnànim.",Juan Ramón Santos,Vida salvaje,Madrid,Hiperión,2022,2022-2023
"Santos Miñambres, Manuel Alberto, El imaginario militar romano en el siglo XVI. Cáceres, UEX, 2023",Manuel Alberto Santos Miñambres,El imaginario militar romano en el siglo XVI,Cáceres,UEX,2023,2022-2023
"Sanz Vázquez, Raquel, Serendipia tras la oscuridad. Badajoz, Fundación CB, 2022.",Raquel Sanz Vázquez,Serendipia tras la oscuridad,Badajoz,Fundación CB,2022,2022-2023
"Scioppio, Gaspar, Praefatio de veteris ac novae Grammaticae Latinae origine, dignitate et usu . Traducción, edición yn notas de Manuel Mañas Núñez e Inmaculada Mañas Galán. Cáceres, UEX, 2022.",Gaspar Scioppio,"Praefatio de veteris ac novae Grammaticae Latinae origine, dignitate et usu",Cáceres,UEX,2022,2022-2023
"Selma, A., Educación multidimensional: experiencias y anécdotas que recogí abriendo brecha en educación primaria y secundaria. Cáceres, Cuatro Hojas, 2023.",A. Selma,Educación multidimensional: experiencias y anécdotas que recogí abriendo brecha en educación primaria y secundaria,Cáceres,Cuatro Hojas,2023,2022-2023
"Serna, Juan (dir.), Cuaderno extremeño para el debate y la acción.  nº X. Villanueva de la Serena, La Moderna, 2023 marzo-.",Juan Serna,Cuaderno extremeño para el debate y la acción. nº X,Villanueva de la Serena,La Moderna,2023,2022-2023
"Sierra, Chelo, La mala intención. Talentura Libros, 2023. Premio Ramiro Pinilla 2022 de novela corta.",Chelo Sierra,La mala intención,Talentura Libros,Talentura Libros,2023,2022-2023
"Silveira, Guillermo, Un puñetazo de alma. Badajoz, Fundación CB, 2022.",Guillermo Silveira,Un puñetazo de alma,Badajoz,Fundación CB,2022,2022-2023
"Solís, Fermín, Elia.  Barcelona, Reservoir Books, 2023. Novela gráfica.",Fermín Solís,,Barcelona,Reservoir Books,2023,2022-2023
"Solís, Fermín, La fiesta de las lavanderas. Cáceres, Universidad Popular, 2023. Comic",Fermín Solís,La fiesta de las lavanderas,Cáceres,Universidad Popular,2023,2022-2023
"Soria Breña, Ramón J., España no es país para ríos: Viaje por las aguas que una vez amamos. Madrid, Alianza, 2023. Nacido en Jarandilla de la Vera (1965), antropólogo, es autor de numerosos libros.",Ramón J. Soria Breña,España no es país para ríos: Viaje por las aguas que una vez amamos,Madrid,Alianza,2023,2022-2023
"Soria Breña, Ramón J., La fábula y el fuego. Mérida, De la luna libros, 2023. Relatos “gastronómicos”.",Ramón J. Soria Breña,La fábula y el fuego,Mérida,De la luna libros,2023,2022-2023
"Sordo Vicente, Manuel y Sordo Osuna, Manuel, Toto Estirado: notas e imágenes de un poeta confuso. Sevilla, El Paseo Editorial, 2022. El libro recoge el legado del pintor extremeño José Antonio Estirado Cruz (Usagre, 1939 – Badajoz, 1994), conocido como Toto Estirado.",Manuel Sordo Vicente;Manuel Sordo Osuna,Toto Estirado: notas e imágenes de un poeta confuso,Sevilla,El Paseo Editorial,2022,2022-2023
"Soriano Llamazares, Antonio, En torno a la emoción. Catálogo fotográfico. Badajoz, Diputación, 2022.",Antonio Soriano Llamazares,En torno a la emoción. Catálogo fotográfico,Badajoz,Diputación,2022,2022-2023
"Soriano Moreno, Violencia y acoso contra las mujeres en el ámbito político como límite a los derechos de participación. 2023. Profesora de Derecho Constitucional de la Universidad de Extremadura.",Soriano Moreno,Violencia y acoso contra las mujeres en el ámbito político como límite a los derechos de participación,Profesora de Derecho Constitucional de la Universidad de Extremadura,,2023,2022-2023
"Soriano Navarro, Eduardo, Eloy Soriano Díaz. El cura de Almendral. Badajoz, Fundación CB, 2023, 865 págs. Biografía y textos.",Eduardo Soriano Navarro,El cura de Almendral,Badajoz,Fundación CB,2023,2022-2023
"Soto Sánchez, José (coord.), XII Jornadas de Historia. Los Santos de Maimona en la historia XII y otros estudios de la Orden de Santiago. Los Santos de Maimona.  Asociación histórico-cultural Maimona, 2022.",José Soto Sánchez,XII Jornadas de Historia. Los Santos de Maimona en la historia XII y otros estudios de la Orden de Santiago,Los Santos de Maimona,Asociación histórico-cultural Maimona,2022,2022-2023
"Schereyer, Patrice/Valverde, Á, Extremaamour. Fotografías y poemas a Extremadura. Trujillo, Fundación Obra Pía de los Pizarro, otoño 2022. Catálogo.",Patrice/Valverde Schereyer,Extremaamour. Fotografías y poemas a Extremadura,Trujillo,Fundación Obra Pía de los Pizarro,2022,2022-2023
"Suárez, Juan Luis, La condición digital. Madrid, Trotta, 2023. Nacido en Badajoz, Catedrático de Humanidades Digitales en Western University, Canadá, donde dirige desde hace años el laboratorio de investigación digital The CulturePlex Lab. Doctor en Filosofía por la Universidad de Salamanca y doctor en Literaturas Hispánicas por McGill University, en Montreal, además de contar con un Global Executive MBA de la IE Business School.",Juan Luis Suárez,La condición digital,Madrid,Trotta,2023,2022-2023
"Santos, Juan Ramón, La muerte del pinflón. Santa Cruz de Tenerife, Baile del Sol, 2022. Narrativa.",Juan Ramón Santos,La muerte del pinflón,Santa Cruz de Tenerife,Baile del Sol,2022,2022-2023
"Santafé Soler, Fernando, Casa y cuartel en todo instante. (Cuarenta y ocho poemas sobre la Guardia Civil). Madrid, Agencia Estatal Boletín Oficial del Estado, septiembre 2022.",Fernando Santafé Soler,Casa y cuartel en todo instante. (Cuarenta y ocho poemas sobre la Guardia Civil),Madrid,Agencia Estatal Boletín Oficial del Estado,2022,2022-2023
"Portalo, Claudio, Hiperpoemas.  Badajoz, Fundación CB, 2022.  Actor, perfomer y poeta, natural de Badajoz (1997) es autor también de los poemarios Yilala (2019) y Karité (2020).",Claudio Portalo,Hiperpoemas,Badajoz,Fundación CB,2022,2022-2023
"Sansón Serván, Miguel, Miguel Sansón Serván: geometría y color: exposición. Olivenza, Museo Etnográfico Extremeño González Santana, abril - mayo 2022",Miguel Sansón Serván,Miguel Sansón Serván: geometría y color: exposición,Olivenza,Museo Etnográfico Extremeño González Santana,2022,2022-2023
"Samada Rica, José Ramón, Silvio y la última hoja del otoño. Madrid, Editorial Gunis, 2022. Narrativa.",José Ramón Samada Rica,Silvio y la última hoja del otoño,Madrid,Editorial Gunis,2022,2022-2023
"Samuel, Mervyn, Carmen Ortueta de Salas. Badajoz, Fundación CB., 2022 Este trabajo resultó ganador del “Premio Ópera Prima Ana Holgado” 2021 de la Universidad de Extremadura.",Mervyn Samuel,Badajoz,Fundación CB.,Universidad de Extremadura,2022,2022-2023
"Sanabria Murillo, Diego, El cerro del Castillo de Capilla (Badajoz). Arqueología, historia y patrimonio. Badajoz, Diputación, 2022.",Diego Sanabria Murillo,"El cerro del Castillo de Capilla (Badajoz). Arqueología, historia y patrimonio",Badajoz,Diputación,2022,2022-2023
"Sánchez Adalid, Jesús, Una luz en la noche de Roma. Barcelona, Harper Collins, 2023. Novela",Jesús Sánchez Adalid,Una luz en la noche de Roma,Barcelona,Harper Collins,2023,2022-2023
"Sánchez, Basilio, El baile de los pájaros. Valencia, Pre-Textos, 2023. Poesía",Basilio Sánchez,El baile de los pájaros,Valencia,Pre-Textos,2023,2022-2023
"Sánchez Cáceres, Luis Fernando, Los entresijos del tiempo. Cáceres. Cuatro Hojas, 2023.",Luis Fernando Sánchez Cáceres,Los entresijos del tiempo,Cáceres,Cuatro Hojas,2023,2022-2023
"Sánchez Casasola, Francisco y Rodríguez Maestre, Rosa María, El arriero de Talaván. Cáceres, CopeGraf, 2022",Francisco Sánchez Casasola;Rosa María Rodríguez Maestre,El arriero de Talaván,Cáceres,CopeGraf,2022,2022-2023
"Sánchez Cuenda, Maribel, Lola: la cigüeña viajera. Cáceres, Cuatro Hojas, 2022.",Maribel Sánchez Cuenda,Lola: la cigüeña viajera,Cáceres,Cuatro Hojas,2022,2022-2023
"Sánchez Escobedo, María de la Cruz y otros, Análisis de la situación del emprendimiento en Extremadura. Cáceres, UEX. 2023.",María de la Cruz Sánchez Escobedo;otros,Análisis de la situación del emprendimiento en Extremadura,Cáceres,UEX,2023,2022-2023
"Sánchez García, Francisco Javier, La incertidumbre. Badajoz, Diputación, 2022.",Francisco Javier Sánchez García,La incertidumbre,Badajoz,Diputación,2022,2022-2023
"Sánchez García, Javier, Hija vieja. Santander, Valhalla ediciones, 2022. Novela.",Javier Sánchez García,Hija vieja,Santander,Valhalla ediciones,2022,2022-2023
"Sánchez Llamazares, Gabino, Todavía las palabras. . Cáceres, Letras Cascabeleras, 2022. Poesía.",Gabino Sánchez Llamazares,Todavía las palabras,Cáceres,Letras Cascabeleras,2022,2022-2023
"Sánchez Marroyo, Fernando y otros, Congresos obreros en Torre de Miguel Sesmero: 1902-1903. Badajoz, Diputación, 2022.",Fernando Sánchez Marroyo;otros,Congresos obreros en Torre de Miguel Sesmero: 1902-1903,Badajoz,Diputación,2022,2022-2023
"Sánchez Rafael, Miguel Ángel, No oigo tu palpitar. Madrid, Villa de Indianos, 2022. Novela",Miguel Ángel Sánchez Rafael,No oigo tu palpitar,Madrid,Villa de Indianos,2022,2022-2023
"Sánchez Robles, Miguel, Solo vemos la luz. XL Premio de Poesía Ciudad de Badajoz. Madrid, Reino de Cordelia, 2022.",Miguel Sánchez Robles,Solo vemos la luz,Madrid,Reino de Cordelia,2022,2022-2023
"Sánchez Vigil, Juan Miguel y Ruiz Fernández, Cristina, Mirar las Hurdes : El viaje de Alfonso XIII a través de la cámara de Campúa. Mérida, Consejería de Cultura, Turismo y Deportes. 2022]",Juan Miguel Sánchez Vigil;Cristina Ruiz Fernández,Mirar las Hurdes : El viaje de Alfonso XIII a través de la cámara de Campúa,Mérida,"Consejería de Cultura, Turismo y Deportes",2022,2022-2023
"Sánchez Tostado, Laura, Linfoma: el cómic. Cáceres,  Asociación Cultural de Amigos del Cómic de Extremadura, 2022.",Laura Sánchez Tostado,Linfoma: el cómic,Cáceres,Asociación Cultural de Amigos del Cómic de Extremadura,2022,2022-2023
"Sanmartín, Luis Miguel, En tiempos del suicida.  Valencia, Olé Libros, 2022, Poemario",Luis Miguel Sanmartín,En tiempos del suicida,Valencia,Olé Libros,2022,2022-2023
"Sanguino Galván, Ramón, Informe sobre la Agricultura y la Ganadería Extremeñas 2021. Badajoz, Fundación CB, 2022.",Ramón Sanguino Galván,Informe sobre la Agricultura y la Ganadería Extremeñas 2021,Badajoz,Fundación CB,2022,2022-2023
"Tejeiro Fuentes, Miguel Ángel, La mirada del otro. La historia de Portugal y de los portugueses en la literatura castellana del Siglo de Oro. Cáceres, UEX, 2022.",Miguel Ángel Tejeiro Fuentes,La mirada del otro. La historia de Portugal y de los portugueses en la literatura castellana del Siglo de Oro,Cáceres,UEX,2022,2022-2023
"Tejerina Gallardo, Álvaro, Árboles con nombre propio: la cultura del árbol por los términos municipales de la Reserva de la Biosfera de Monfragüe.  [S. l.] ,  ADAME, Asociación para el Desarrollo de Monfragüe y su Entorno, 2022.",Álvaro Tejerina Gallardo,Árboles con nombre propio: la cultura del árbol por los términos municipales de la Reserva de la Biosfera de Monfragüe,[S. l.],"ADAME, Asociación para el Desarrollo de Monfragüe y su Entorno",2022,2022-2023
"Tello Muñoz, Olga M. y Vega Casallo, M. Victoria, 28 aves de la comarca de Miajadas-Trujillo. Trujillo, Adicomt, 2023.",Olga M. Tello Muñoz;M. Victoria Vega Casallo,28 aves de la comarca de Miajadas-Trujillo,Trujillo,Adicomt,2023,2022-2023
"Tena, Antonio, Nemesio, o el caos.  Tres Cantos (Madrid), Bohodón  Ediciones, 2023. Novela",Antonio Tena,"Nemesio, o el caos",Tres Cantos (Madrid),Bohodón Ediciones,2023,2022-2023
"Vázquez Marín, Juana, El desconcierto de vivir. Oviedo, Editorial Sapere Aude, 2022. Novela",Juana Vázquez Marín,El desconcierto de vivir,Oviedo,Editorial Sapere Aude,2022,2022-2023
"Vázquez Ortiz, Julio C. (coord.), Cáceres Abierto 2021. Mérida, Consejería de Cultura, 2022.",Julio C. Vázquez Ortiz,Cáceres Abierto 2021,Mérida,Consejería de Cultura,2022,2022-2023
"Vaya, Diego, Streaming. XXXIX Premio de Poesía Ciudad de Badajoz. Madrid, Reino de Cordelia, 2022.",Diego Vaya,Streaming. XXXIX Premio de Poesía Ciudad de Badajoz,Madrid,Reino de Cordelia,2022,2022-2023
"Vega Fernández, Juan de la, Villas de Cáceres con rollos de Justicia : Serradilla. Monfragüe. S. l., autoedición, 2022.",Juan de la Vega Fernández,Villas de Cáceres con rollos de Justicia : Serradilla. Monfragüe,S. l.,autoedición,2022,2022-2023
"Vega Fernández, Juan de lasVillas de Cáceres con rollos de Justicia (IX) : Portezuelo. S.l., autoedición, 2022.",Juan Vega Fernández,Villas de Cáceres con rollos de Justicia (IX) : Portezuelo,S.l.,autoedición,2022,2022-2023
"Venegas, Juan, Segunda juventud. Sevilla, Libros Indie, 2022. Novela",Juan Venegas,Segunda juventud,Sevilla,Libros Indie,2022,2022-2023
"Venegas Ramos, Alberto, La II Guerra Mundial y el videojuego. Cáceres, UEX, 2022.",Alberto Venegas Ramos,La II Guerra Mundial y el videojuego,Cáceres,UEX,2022,2022-2023
"Vela Navarrete, Remigio, Trasplante renal y cirugía de la uremia. Aportaciones históricas españolas 1958-1989. Madrid, Asociación Española de Urología, 2022",Remigio Vela Navarrete,Trasplante renal y cirugía de la uremia. Aportaciones históricas españolas 1958-1989,Madrid,Asociación Española de Urología,2022,2022-2023
"Vicente Castro, Florencio, El Camino de Santiago como vivencia interna de búsqueda: discurso para la recepción pública del Académico electo Ilmo. Sr. Dr. Florencio Vicente Castro. Badajoz, Zeta Impresión, 2022.",Florencio Vicente Castro,El Camino de Santiago como vivencia interna de búsqueda: discurso para la recepción pública del Académico electo Ilmo. Sr. Dr. Florencio Vicente Castro,Badajoz,Zeta Impresión,2022,2022-2023
